	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH34.B_S99	BH34.A_S98	BH06_S81	BSE79_S120	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BFH38.B_S157	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BFH38.A_S156	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH49_S110	BFH30_S148
lmrP_ARO:3003969_ABF33001.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
vanHB_ARO:3002943_AAB05626.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0
VIM-38_ARO:3002308_AGE83081.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1
CMY-17_ARO:3002028_AAS13399.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erm(41)_ARO:3000603_ABW06859.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vanTG_ARO:3002972_ABA71733.1	0	0	2	0	1	0	0	135	0	0	0	0	0	42	0	0	1	0	0	0	0	0	0	0	14	1	3	2	0	5	0	1	0	1	5	4	0	2	0	0	90	0	0	0	1	0	8	0	0	3	8	0	21	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	3	0	0	0	0	7	1	1	1	2	20
ICR-Mc_ARO:3004466_EGE18576.1	2	0	2	0	2	0	1	3	2	0	0	0	1	0	0	3	2	1	0	0	1	0	1	0	1	3	2	0	0	0	0	7	0	0	0	1	0	1	0	0	3	0	1	2	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	3	2	3	0	0	2	3	0	0	3	1	2	3	1	0	0	0	0	1	1	0	0	0	0	1	1	2	2	0	3	0	0	0	0	1	0
OXA-56_ARO:3001795_AAR32651.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
AAC(3)-IIIb_ARO:3002537_KSC15183.1	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
tet(Y)_ARO:3000182_AAC72341.1	1	0	0	1	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	70	0	0	0	1	15	0	0	0	0	0	11	0	0	0	1	0	10	5	0	1	0	0	0	1	0	64	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4
FosB_ARO:3000172_AAP08996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
OXA-280_ARO:3001735_ENV74419.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMY-42_ARO:3002053_ADM21467.1	222	0	718	3	139	11	762	588	8	2	4	2011	334	472	39	68	259	298	1459	3	1086	58	106	7	3	56	66	0	1	2	65	36	7	719	0	371	39	280	2	786	654	201	22	19	341	238	409	16	41	86	14	9	1198	290	135	10	0	2	4	524	35	456	3	0	3	9	1	5	307	101	780	294	137	29	1	3	11	327	11	386	13	425	99	35	17	192	522	2020	277	764	4	7	15	2	83	733
vatH_ARO:3002845_ACX92987.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
vanI_ARO:3003723_KTE89608.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTX-M-35_ARO:3001897_BAD83775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CrpP_ARO:3004468_AEQ93536.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	106	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	7
OXA-21_ARO:3001416_CAA71699.2	6	2	131	6	30	3	44	7	0	0	6	11	11	9	21	48	36	36	2	0	121	6	2	0	6	21	22	2	0	2	5	14	0	34	3	38	22	56	0	76	16	5	24	130	11	10	23	11	66	3	6	2	57	54	21	3	0	0	298	19	30	42	3	0	8	26	9	0	24	61	25	1	27	9	0	2	0	17	6	14	1	19	46	12	34	50	9	28	66	3	25	6	6	1	61	18
tetQ_ARO:3000191_CAA79727.1	86	31	42	58	660	31	536	1033	184	701	26	30	1722	454	1158	1917	1837	245	421	5	166	49	153	4	868	1630	1513	2327	17	4656	9	1849	26	534	11609	1257	294	1135	145	148	2789	2037	348	52	433	320	1666	728	114	71	1031	145	2860	156	412	1300	3	15745	6	23	389	1609	34	4	343	199	1271	11	1600	699	19	103	241	254	11	399	25	107	1264	761	634	58	795	829	420	627	48	58	679	69	625	142	1261	340	1466	3778
OXA-214_ARO:3001713_AEV91553.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfrA28_ARO:3004551_CAT00035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTX-M-109_ARO:3001969_AEM44654.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-373_ARO:3001559_CDM87362.1	0	0	3	0	0	1	0	0	0	34	0	0	0	0	0	0	1	0	0	0	0	0	1	0	35	0	0	0	0	0	0	1	0	199	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	165	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	1	0	0	2	0	0	209	0	15	0	1	1	0	0	0	0	0	0	26	1	0	0	0	1
SHV-152_ARO:3001191_AFQ23958.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OprJ_ARO:3000802_AAB41958.1	0	7	17	0	2	0	1	4	0	1	3	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	2	0	0	3	1	2	0	2	0	0	0	1	0	1	1	0	0	1	4	0	0	0	0	2	0	0	1	0	0	3	2	0	0	0	4	0	0	1	0	1	1	0	103	1	3	2	0	0	1	0	0	2	0	0	0	2	0	0	0	1	7
AAC(3)-IIIc_ARO:3002538_AAA25683.1	1	1	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0
OXA-96_ARO:3001631_ABF47919.1	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	1	7	1	0	1	1	0	0	27	0	0	0	0	0	1	0	0	11	0	16	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	13	11	0	12	0	0	0	0	0	23	0	1	0	0	0	0	2	0	11	0	0	1	0	1	0	1	5	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0
OKP-B-2_ARO:3002435_CAJ19610.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APH(3')-VIa_ARO:3002652_CAA30578.1	0	0	0	0	0	0	7	92	0	30	0	0	0	0	0	0	1	0	0	0	0	0	1	1	55	0	0	7	0	0	0	0	0	13	0	18	2	0	1	0	7	1	1	0	0	2	7	0	2	0	1	0	38	5	2	0	0	0	0	0	1	16	0	0	0	0	6	0	2	1	35	0	1	0	0	0	0	106	0	0	17	2	0	0	1	0	0	0	2	2	39	0	0	0	1	55
mexV_ARO:3003030_AAG07762.1	0	1	38	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	7	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	580	2	0	0	0	0	0	1	0	2	1	0	0	1	0	1	0	3	26
CMY-51_ARO:3002062_AFK73431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2
cfrC_ARO:3004146_CAL84423.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHV-105_ARO:3001154_ACI22621.1	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
aadA14_ARO:3002614_CAI57696.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMY-84_ARO:3002097_AFK73455.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0
OXA-98_ARO:3001646_CAK50801.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMY-60_ARO:3002073_AEM97672.1	0	0	2	0	0	0	1	3	0	0	0	6	1	1	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	4	0	1	0	0	0	0	1	0
TEM-83_ARO:3000950_AAL29435.1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfrA27_ARO:3004550_ACD45689.1	0	0	0	0	0	4	2	1	0	0	0	1	2	190	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	2	0	0	0	1	1	39	4	0	0	0	0	1	5	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4
QnrB58_ARO:3002771_AFR46589.1	0	21	9	0	0	0	1	0	0	0	10	0	0	5	0	0	0	0	0	0	0	0	0	1	21	0	0	1	0	0	0	0	0	4	0	4	0	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	7	112	0	1	0	0	1	13	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	0	11	0	1	0	0	0	0	0	13
bcrA_ARO:3002987_AAA99504.1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	2	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0
mecD_ARO:3004185_AQX82857.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(51)_ARO:3004586_AKQ05895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADC-76_ARO:3003882_ALA14811.1	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mexQ_ARO:3003699_BAE06008.1	0	6	93	16	2	1	1	3	1	1	23	0	1	1	0	0	0	0	0	2	0	4	0	0	7	0	0	1	0	0	0	0	0	18	0	1	1	0	1	4	2	0	11	0	1	0	1	0	3	1	7	0	2	3	0	1	3	0	13	1	6	0	1	0	0	0	1	0	1	7	1	0	0	0	0	223	1	1248	13	0	2	0	1	2	0	0	1	0	0	1	4	0	4	0	1	66
OXA-361_ARO:3001548_AHA11124.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
lsaC_ARO:3003112_AEA37904.1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
AAC(6')-IIa_ARO:3002594_AAM92464.1	14	0	22	4	9	3	42	100	11	7	0	8	1	502	11	17	19	17	0	0	1	5	25	0	300	6	3	0	0	2	3	0	2	3	0	8	22	6	20	9	326	0	24	10	0	28	34	0	21	5	0	7	23	11	15	2	0	1	3	2	45	11	1	0	1	4	113	0	98	84	58	14	4	16	0	147	0	28	10	0	58	5	38	8	37	3	152	56	32	1501	345	3	4	0	60	238
