"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Class"	"Cluster_name"	"Gene"	"n"
"228"	"sp2421"	65.4205582114529	4.39912090910187	0.627083493269157	7.0152076339437	2.29607717262079e-12	2.82780030733297e-11	"Macrolide"	"erm(B)_18_clust"	"erm(B)_9_AF299292"	25
"131"	"sp1924"	5.56856140219387	4.37651760129276	0.648309647325561	6.75065937912074	1.47174749498085e-11	1.51379742340887e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-56_1_MG834535"	4
"520"	"sp70"	21.4372915506844	4.35269486015555	0.741214122650771	5.87238522195071	4.29569113722972e-09	2.95644625326987e-08	"Aminoglycoside"	"aph(3')-VI_2_clust"	"aph(3')-VI_1_KC170992"	12
"240"	"sp2477"	60.0266971915405	4.34714274892665	0.651148853062449	6.67611211857534	2.45364284879663e-11	2.41748390155121e-10	"Macrolide"	"mef(A)_3_clust"	"mef(A)_3_AF227520"	28
"2"	"sp102"	9.85764907345498	4.34644833157738	0.699698977856454	6.21188320853754	5.23533340461525e-10	4.0835600555999e-09	"Aminoglycoside"	"aac(3)-I_1"	"aac(3)-I_1_AJ877225"	7
"293"	"sp2713"	5.15144706931653	4.33940483486922	0.727228102894577	5.9670477771653	2.41584687674041e-09	1.75289354777444e-08	"Quinolone"	"qnrB8_1_clust"	"qnrB38_1_JN173060"	2
"260"	"sp2548"	55.3407235189422	4.29537627182042	0.667416907637763	6.43582178195538	1.22807060857046e-10	1.02631615144817e-09	"Macrolide"	"erm(B)_18_clust"	"erm(B)_22_X52632"	24
"92"	"sp1585"	4.72999413781634	4.28216902560612	0.633931583050857	6.75493876641666	1.42895593494177e-11	1.48611417233944e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-24_1_HM855205"	3
"90"	"sp1583"	4.73981778406849	4.28020681445674	0.636031424662024	6.7295524222426	1.7018576561988e-11	1.69461570872561e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-20_1_GQ414736"	3
"88"	"sp1580"	6.90257791540233	4.24813424702133	0.668164476037233	6.35791694915639	2.04507981621103e-10	1.69397761767569e-09	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-17_1_EU118148"	5
"129"	"sp1888"	4.5462489418038	4.20013300348243	0.638610237060702	6.57698978145756	4.80067753670338e-11	4.36255745082948e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-50_1_KU663375"	3
"127"	"sp1882"	4.42602135435098	4.17679014215116	0.620130061729103	6.73534537336419	1.63541000601259e-11	1.64596103830944e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-41_1_KP771862"	3
"128"	"sp1887"	4.31732038575074	4.11837092601097	0.625070090904418	6.58865459400252	4.43829966033934e-11	4.15424848207763e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-51_1_KU746270"	3
"61"	"sp1430"	71.2833711612729	4.10135000262921	0.925468981851969	4.43164501788265	9.35168852701533e-06	3.5873690415108e-05	"Betalactam"	"ampH_1_clust"	"ampH_1_AJ276031"	16
"95"	"sp1592"	4.22851764086603	4.09957424994433	0.624528489955243	6.56427099144529	5.22880351896094e-11	4.57398139602564e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-31_1_JN982330"	3
"263"	"sp2553"	38.7198610087036	4.08629612269223	0.690673049059074	5.91639724216708	3.29069898540111e-09	2.33340473510261e-08	"Macrolide"	"erm(B)_18_clust"	"erm(B)_26_AF080450"	20
"81"	"sp1566"	4.20088867211408	4.08154340492041	0.618634686207804	6.59766336404453	4.17688335633919e-11	3.94905335508433e-10	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-3_1_AF300454"	3
"91"	"sp1584"	3.9697282174412	3.96570008073774	0.631478206889056	6.28002682828051	3.3851460995517e-10	2.70811687964136e-09	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-23_1_GQ242167"	3
"383"	"sp2905"	15.807641814806	3.92564067032635	0.588902147885264	6.66603218280532	2.62811652998281e-11	2.56241361673324e-10	"Tetracycline"	"tet(E)_2_clust"	"tet(E)_3_CP000645"	22
"232"	"sp2425"	23.3138727344734	3.86034966805134	0.637771559464389	6.05287208368671	1.42285851815952e-09	1.06543645839785e-08	"Macrolide"	"erm(B)_18_clust"	"erm(B)_15_U48430"	18
"267"	"sp2568"	37.8565292962164	3.76202081041127	0.703746981205429	5.34570081418666	9.00678772727044e-08	5.43893762111299e-07	"Macrolide"	"erm(B)_18_clust"	"erm(B)_23_X72021"	21
"291"	"sp2696"	3.62309777518814	3.73098048515312	0.679875965915854	5.48773698762414	4.07115626466245e-08	2.57473125927301e-07	"Quinolone"	"qnrB8_1_clust"	"qnrB21_1_FJ611948"	3
"467"	"sp497"	7.27147524872073	3.70641725721695	0.725544562365985	5.10846259412433	3.24790685754788e-07	1.76746559224698e-06	"Betalactam"	"blaACT-1_1_clust"	"blaACT-10_1_JN848330"	7
"382"	"sp2904"	9.98054716225267	3.58359706949195	0.696076790517904	5.14827834846445	2.62888188952896e-07	1.47343320275395e-06	"Tetracycline"	"tet(E)_2_clust"	"tet(E)_2_L06940"	12
"211"	"sp2321"	16.1055344782167	3.559961390953	0.729909387264323	4.87726484008601	1.07566968622762e-06	4.95973806063573e-06	"Polymyxin"	"mcr-7.1_1"	"mcr-7.1_1_MG267386"	19
"312"	"sp28"	7.58435521290609	3.53934747809683	0.721116561967895	4.90814892454849	9.19400307495394e-07	4.34625599906914e-06	"Aminoglycoside"	"aph(3')-VI_2_clust"	"aph(3')-VI_2_APPJ01000012"	8
"96"	"sp1597"	2.98497047465569	3.52595418240913	0.654628374573059	5.38619210435037	7.19660442522538e-08	4.40262858954964e-07	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-36_1_JX982635"	3
"237"	"sp2457"	8.36439958953167	3.48091562289223	0.586016181627921	5.93996502489476	2.8508289131364e-09	2.03692813946235e-08	"Macrolide"	"erm(T)_4"	"erm(T)_4_AJ488494"	16
"381"	"sp2903"	7.01639419239841	3.47815064239754	0.69807480313723	4.98248988040584	6.27712744278651e-07	3.10867263833237e-06	"Tetracycline"	"tet(E)_2_clust"	"tet(E)_1_Y19116"	8
"227"	"sp2420"	35.5009736719562	3.46398171804526	0.617856820842875	5.60644732111191	2.06521793800233e-08	1.35177901396516e-07	"Macrolide"	"erm(B)_18_clust"	"erm(B)_7_AF368302"	25
"428"	"sp3061"	6.18207376833877	3.46254624140639	0.628729859011484	5.50720820997806	3.64568982375905e-08	2.32133719390372e-07	"Trimethoprim"	"dfrA12_1_clust"	"dfrA12_8_AM040708"	9
"234"	"sp2427"	12.1553995199431	3.44025661658415	0.612595147495077	5.61587311073468	1.95572147295666e-08	1.28912344977988e-07	"Macrolide"	"erm(B)_18_clust"	"erm(B)_20_AF109075"	19
"41"	"sp1378"	4.28239397912003	3.40081011909946	0.601835995650562	5.65072568553052	1.59771885317927e-08	1.06818917612557e-07	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-150_1_AM183304"	7
"83"	"sp1572"	2.7598377924188	3.38302538520755	0.648580026667882	5.21604928629708	1.82779560863748e-07	1.0368585998089e-06	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-9_1_AY524988"	3
"212"	"sp2323"	3.41963992379143	3.36861721937532	0.64496354207023	5.22295757766803	1.76087742170192e-07	1.00860426772776e-06	"Polymyxin"	"mcr-9_1"	"mcr-9_1_NZ_NAAN01000063.1"	5
"268"	"sp2580"	84.2992421153929	3.35530820053291	0.727307157018755	4.61333037651709	3.96267671950838e-06	1.64117938471674e-05	"Macrolide"	"mdf(A)_1"	"mdf(A)_1_Y08743"	30
"288"	"sp2681"	3.30524144739241	3.33921339224039	0.672397721917488	4.96612835438808	6.8302757368568e-07	3.34719271711935e-06	"Quinolone"	"qnrB8_1_clust"	"qnrB8_1_EU043312"	4
"73"	"sp152"	308.548017017083	3.33439799995795	0.597351917535013	5.58196584304513	2.37815090221988e-08	1.54579808644292e-07	"Aminoglycoside"	"aac(6')-IIa_1"	"aac(6')-IIa_1_M29695"	31
"416"	"sp3004"	7.31230135552136	3.30330655262109	0.697649721095902	4.73490700667392	2.19155560031392e-06	9.6304978492668e-06	"Trimethoprim"	"dfrA7_5_clust"	"dfrA17_1_FJ460238"	8
"447"	"sp328"	21.5636857444183	3.26495339516021	0.660027195675187	4.9466952521862	7.54840099602735e-07	3.62323247809313e-06	"Betalactam"	"blaOXA-397_1_clust"	"blaOXA-420_1_AB983359"	20
"245"	"sp2486"	3393.56313495961	3.25316473429034	0.733176955193878	4.43707990444147	9.11874510388592e-06	3.55631059051551e-05	"Macrolide"	"msr(E)_1"	"msr(E)_1_FR751518"	33
"186"	"sp2164"	3.23275540100838	3.22628638290996	0.582192213810419	5.54161719510826	2.99690896337222e-08	1.93455640670096e-07	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-231_1_MG821378"	6
"255"	"sp2535"	1426.03957814358	3.16426547704301	0.7139577114509	4.43200686300118	9.33600454848168e-06	3.5873690415108e-05	"Macrolide"	"mph(E)_1_clust"	"mph(E)_1_DQ839391"	33
"256"	"sp2536"	1021.85461390577	3.14098722830003	0.74750681976992	4.20195126683502	2.64624108744956e-05	9.67531897598744e-05	"Macrolide"	"mph(E)_1_clust"	"mph(E)_2_JF769133"	32
"31"	"sp1334"	5.1635368594537	3.04993259519867	0.589543858358061	5.17337692855124	2.29900572201739e-07	1.29630684084836e-06	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-97_1_AF397067"	11
"546"	"sp891"	3.38801966961271	3.01552562088527	0.604753166424044	4.9863742569821	6.15229151883132e-07	3.0630557774607e-06	"Betalactam"	"blaOXA-20_1_clust"	"blaOXA-37_1_AY007784"	6
"278"	"sp2641"	13.2688003356258	2.99441974629259	0.728330007947692	4.1113502308251	3.93351995424929e-05	0.00013893489347839	"Phenicol"	"catS_1"	"catS_1_X74948"	14
"507"	"sp564"	7.51320158207808	2.9887899381746	0.674091913725358	4.43380179663794	9.25857493113758e-06	3.5873690415108e-05	"Betalactam"	"blaCMY-150_2_clust"	"blaCMY-66_1_JN714478"	15
"264"	"sp2557"	147.354231123748	2.93656985161542	0.703680534112109	4.17315771754398	3.0040683288736e-05	0.000108146459839449	"Macrolide"	"mef(A)_4_clust"	"mef(A)_2_U83667"	30
"173"	"sp211"	6.02342593087289	2.89394484342912	0.695272924206661	4.16231488768421	3.15037506880215e-05	0.000112547750549573	"Aminoglycoside"	"aph(3')-VI_2_clust"	"aph(3')-VIa_1_X07753"	8
"115"	"sp175"	43.0840577669449	2.82167467899496	0.672881063635455	4.19342262917901	2.74776823884514e-05	0.000100074360761053	"Aminoglycoside"	"aac(6')-Ib_2_clust"	"aadA11_1_AY144590"	26
"203"	"sp2292"	2.46361750275966	2.7939895394094	0.632328193755791	4.41857498526857	9.93538097829534e-06	3.78029129905871e-05	"Polymyxin"	"mcr-3.1_1_clust"	"mcr-3.6_1_MF598076"	3
"558"	"sp96"	122.893268871708	2.78217312679721	0.64092606463281	4.34086438408637	1.41923301372591e-05	5.2714369081248e-05	"Aminoglycoside"	"ant(6)-Ia_3"	"ant(6)-Ia_3_KF864551"	31
"44"	"sp1395"	5.43193236956331	2.76073518445083	0.609262845865543	4.53127119630744	5.86298146995036e-06	2.37564963457729e-05	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-171_1_GQ149347"	12
"158"	"sp206"	56.2713006745235	2.71850299591325	0.835791468990741	3.25260916960062	0.00114350660224825	0.00280924456615319	"Aminoglycoside"	"aph(3')-IIIa_1_clust"	"aph(3')-III_1_M26832"	22
"215"	"sp2363"	7.54298413973873	2.70908992114167	0.6939149186617	3.90406640394255	9.45898092877294e-05	0.000315074951933504	"Fosfomycin"	"fosA5_1_clust"	"fosA6_1_KU254579"	11
"184"	"sp2156"	4.21746136952121	2.67429584722092	0.600275858819282	4.45511144239776	8.38496279226757e-06	3.31840181369399e-05	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-219_1_KM114268"	10
"89"	"sp1581"	2.30318036809855	2.67197349761396	0.662401244887156	4.03376883458174	5.48893177708931e-05	0.000188883828799838	"Betalactam"	"blaVIM-48_1_clust"	"blaVIM-18_1_AM778091"	3
"77"	"sp1528"	4.83747662970538	2.63032547760522	0.708929697281193	3.71027689726181	0.000207032678955214	0.000663638998294797	"Betalactam"	"imiS_1_clust"	"cphA7_1_AY227053"	9
"26"	"sp1302"	3.83601245929667	2.61228879336554	0.62010762896819	4.21263772824756	2.52405713224554e-05	9.2647744148307e-05	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-52B_1_AF027199"	8
"466"	"sp489"	4.12469605603399	2.6016890509619	0.713924426041221	3.64420792462378	0.000268216528084366	0.000836835567623223	"Betalactam"	"blaACT-1_1_clust"	"blaACT-1_1_U58495"	6
"39"	"sp1373"	5.36325899012418	2.60053488539247	0.596180161904495	4.36199500011049	1.28881816002069e-05	4.82533519111747e-05	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-145_1_DQ105528"	13
"378"	"sp2900"	39.7915175204495	2.59789853457923	0.585992898572274	4.43332767497492	9.27896769100916e-06	3.5873690415108e-05	"Tetracycline"	"tet(G)_1_clust"	"tet(G)_1_AF133139"	30
"453"	"sp380"	61.5318287830725	2.59643155869974	0.63883314087725	4.06433447571975	4.81697086058235e-05	0.000168234504683025	"Betalactam"	"blaOXA-464_1_clust"	"blaOXA-490_1_KU721147"	28
"42"	"sp1390"	6.32353477429418	2.56754972913027	0.590832368068356	4.34564839012547	1.38864857306812e-05	5.17838671072413e-05	"Betalactam"	"blaTEM-1A_1_clust"	"blaTEM-163_1_EU815939"	15
"413"	"sp30"	43.782793943111	2.56516751677752	0.743169083547518	3.45166069682648	0.000557147874507386	0.00156742292145245	"Aminoglycoside"	"ant(6)-Ia_5_clust"	"ant(6)-Ia_5_AB247327"	25
