"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG038637(gi:330828801)"	"fliH"	"flagellar_assembly_protein_FliH_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG023583(gi:332159948)"	"YE105_C0324"	"Secretion_system_apparatus_"	"TTSS_(chromosomally_encoded)(CVF046)_"	"Yersinia_enterocolitica_subsp._palearctica_105.5R(r)"
"VFG043623(gb|YP_002921124)"	"mrkF"	"type_3_fimbrial_minor_pilin_subunit_MrkF_"	"Type_3_fimbriae_(VF0567)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG033218(gi:218561490)"	"fimA"	"major_type_1_subunit_fimbrin_(pilin"	"ND"	"ND"
"VFG000455(gb|NP_462540)"	"lpfB"	"long_polar_fimbrial_chaperone_protein_LpfB_"	"Lpf_(VF0105)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG013166(gi:170718384)"	"lpxB"	"lipid-A-disaccharide_synthase_"	"LOS_(CVF494)_"	"Haemophilus_somnus_2336"
"VFG007394(gb|NP_231751)"	"flhB"	"flagellar_biosynthesis_protein_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG042903(gi:283788195)"	"cfcI"	"Type_IV_pilus_biogenesis_protein_"	"colonization_factor_Citrobacter_(CFC"	"ND"
"VFG001897(gb|NP_281509)"	"fliF"	"flagellar_M-ring_protein_FliF_"	"Flagella_(VF0114)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG043407(gi:42780820)"	"motS"	"flagellar_motor_protein_MotS_"	"peritrichous_flagella_(AI153)_"	"Bacillus_cereus_ATCC_10987"
"VFG015426(gi:152985140)"	"PSPA7_0151"	"lipoprotein,_putative_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_aeruginosa_PA7"
"VFG019750(gi:229588320)"	"pilW"	"hypothetical_protein_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_fluorescens_SBW25"
"VFG041782(gi:46562139)"	"DVUA0122"	"type_III_secretion_system_protein_"	"T3SS_(SS039)_"	"Desulfovibrio_vulgaris_str._Hildenborough"
"VFG010319(gi:41407954)"	"mce5F"	"hypothetical_protein_"	"Mce5_(CVF340)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG029765(gi:41409792)"	"fadE5"	"FadE5_"	"GPL_locus_(CVF650)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG037965(gi:384141328)"	"ABZJ_00082"	"putative_polysaccharide_biosynthesis_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_MDR-ZJ06"
"VFG012532(gi:110642109)"	"ybtX"	"putative_cytoplasmic_transmembrane_protein_"	"Yersiniabactin_siderophore_(CVF458)_"	"Escherichia_coli_536"
"VFG037616(gi:523531733)"	"csuD"	"P_pilus_assembly_protein,_porin_PapC_"	"Csu_pili_(CVF770)_"	"Acinetobacter_baumannii_BJAB0715"
"VFG000811(gb|NP_290267)"	"escO"	"positive_regulator_EscO_"	"LEE_encoded_T3SS_(SS020)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG038461(gi:145298152)"	"tapQ"	"type_IV_pilus_biogenesis_protein_TapQ_"	"Tap_pili_(AI103)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG013615(gi:68249709)"	"hemH"	"ferrochelatase_"	"Heme_biosynthesis_(CVF506)_"	"Haemophilus_influenzae_86-028NP"
"VFG026281(gi:170732091)"	"wcbA"	"capsule_polysaccharide_biosynthesis_protein_"	"Capsule_I_(CVF645)_"	"Burkholderia_cenocepacia_MC0-3"
"VFG012027(gi:15792651)"	"neuC2"	"putative_N-acetylglucosamine-6-phosphate_2-epimerase/N-acetylglucosamine-6-phosphatase_"	"O-linked_flagellar_glycosylation_(CVF399)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG006069(gi:55823380)"	"rgpC"	"polysaccharide_ABC_transporter_membrane-spanning_protein_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG014248(gi:70729008)"	"flgI"	"flagellar_P-ring_protein_precursor_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG038636(gi:145298348)"	"fliH"	"polar_flagellar_assembly_protein,_FliH_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG019779(gi:229590419)"	"chpE"	"chemotactic_transduction_protein_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_fluorescens_SBW25"
"VFG029361(gi:499078097)"	"MAP4_3816"	"oxidoreductase,_luciferase-like_monooxygenase_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG005586(gi:15675029)"	"hylA"	"extracellular_hyaluronate_lyase_"	"Hyaluronidase_(CVF154)_"	"Streptococcus_pyogenes_M1_GAS"
"VFG014768(gi:77457186)"	"alg8"	"alginate_biosynthesis_protein_Alg8_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG001333(gb|NP_689029)"	"cfa/cfb"	"cAMP_factor_"	"CAMP_factor_(VF0280)_"	"Streptococcus_agalactiae_2603V/R"
"VFG024738(gi:221229444)"	"pks15/1"	"polyketide_synthase_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG038090(gi:213155476)"	"AB57_0107"	"nucleotide_sugar_epimerase/dehydratase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_AB0057"
"VFG042952(gi:28199567)"	"pilP"	"fimbrial_assembly_protein_"	"type_IV_pili_(AI118)_"	"Xylella_fastidiosa_Temecula1"
"VFG011969(gi:118475075)"	"flgI"	"flagellar_P-ring_protein_FlgI_"	"Flagella_(CVF397)_"	"Campylobacter_fetus_subsp._fetus_82-40"
"VFG042836(gi:18311262)"	"CPE2280"	"hypothetical_protein_"	"type_IV_pili_(AI109)_"	"Clostridium_perfringens_str._13"
"VFG038916(gb|YP_855895)"	"rtxB"	"RTX_toxin_transporter,_ATPase_protein_"	"The_repeat_in_toxin_(RTX)"	"ND"
"VFG034849(gb|NP_285716)"	"espX1"	"Type_III_secretion_system_effector_EspX1_"	"LEE_encoded_T3SS_(SS020)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG002086(gb|NP_232519)"	"vasI"	"type_VI_secretion_system_protein_VasI_"	"T6SS_(VF0335)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG029764(gi:31791422)"	"fadE5"	"acyl-CoA_dehydrogenase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_bovis_AF2122/97"
"VFG034262(gi:222158205)"	"chuS"	"heme/hemoglobin_transport_protein_"	"Heme_uptake_(CVF460)_"	"Escherichia_coli_O83:H1_str._LF82"
"VFG005890(gi:55823027)"	"epsL"	"exopolysaccharide_polymerization_protein_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG043121(gb|NP_231837)"	"flgP"	"flagellar_protein_FlgP_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG016327(gi:118478981)"	"piplc"	"glycosylphosphatidylinositol_diacylglycerol-lyase_((glycosyl)phosphatidylinositol-specific_phospholipase_C,_X_domain"	"ND"	"ND"
"VFG041176(gi:205352305)"	"SG1048"	"RHS_family_protein_"	"T6SS_(SS177)_"	"Salmonella_enterica_subsp._enterica_serovar_Gallinarum_str._287/91"
"VFG034686(gi:161486035)"	"ibeC"	"hypothetical_protein_"	"Invasion_of_brain_endothelial_cells_(Ibes)(CVF429)_"	"Escherichia_coli_CFT073"
"VFG000536(gb|NP_461795)"	"prgH"	"type_III_secretion_system_outer_MS_ring_protein_PrgH_"	"TTSS(SPI-1_encode)(VF0116)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG044344(gi:296112913)"	"tbpA"	"transferrin_binding_protein_A_TbpA_"	"Transferrin_and_lactoferrin-mediated_iron_uptake_(IA072)_"	"Moraxella_catarrhalis_RH4"
"VFG048917"	"KPN_02505"	"glycosyltransferase_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG024430(gi:315441758)"	"espJ"	"hypothetical_protein_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_gilvum_Spyr1"
"VFG002053(gb|YP_404606)"	"gspJ"	"general_secretion_pathway_protein_J_"	"T2SS_(VF0333)_"	"Shigella_dysenteriae_Sd197"
"VFG006073(gi:55823381)"	"rgpB"	"polysaccharide_biosynthesis_protein/putative_rhamnosyl_transferase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG010064(gi:118463921)"	"mce2F"	"mce-family_protein_mce2f_"	"Mce2_(CVF337)_"	"Mycobacterium_avium_104"
"VFG012983(gi:82543041)"	"entB"	"2,3-dihydro-2,3-dihydroxybenzoate_synthetase,_isochroismatase_"	"Enterobactin_synthesis_(CVF477)_"	"Shigella_boydii_Sb227"
"VFG045688(gi:383329042)"	"uppS"	"undecaprenyl_diphosphate_synthase_"	"Capsule_(CVF618)_"	"Enterococcus_faecium_Aus0004"
"VFG037470(gi:184157192)"	"ACICU_00872"	"transcriptional_regulator_"	"Heme_utilization__(CVF769)_"	"Acinetobacter_baumannii_ACICU"
"VFG007318(gi:28897557)"	"flgI"	"flagellar_P-ring_protein_precursor_"	"Flagella_(CVF281)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG038357(gi:145301467)"	"sycX"	"hypothetical_protein_"	"T3SS_(VF0479)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG010086(gi:126436742)"	"mce3A"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_sp._JLS"
"VFG004170(gb|NP_459031)"	"bcfF"	"fimbrial_subunit_"	"bovine_colonization_factor_(Bcf)(AI058)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG001332(gb|NP_687687)"	"cylE"	"haemolysin_CylE_"	"<beta-haemolysin/cytolysin_(VF0279)_"	"Streptococcus_agalactiae_2603V/R"
"VFG015747(gi:170720070)"	"algG"	"Carbohydrate-binding_and_sugar_hydrolysis_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_putida_W619"
"VFG022123(gi:118470815)"	"espG3"	"DNA-binding_protein_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG034536(gi:386622651)"	"ecpE"	"hypothetical_protein_"	"E._coli_common_pilus_(ECP)(CVF625)_"	"Escherichia_coli_O7:K1_str._CE10"
"VFG000034(gb|NP_878991)"	"bplE"	"probable_glycosyl_transferase_"	"LPS_(VF0033)_"	"Bordetella_pertussis_Tohama_I"
"VFG041206(gi:283786446)"	"cts1C"	"T6SS_protein_Cts1C_"	"CTS1_(SS186)_"	"Citrobacter_rodentium_ICC168"
"VFG044135(gi:218927486)"	"hmuV"	"hemin_importer_ATP-binding_subunit_"	"direct_heme_uptake_system_(IA058)_"	"Yersinia_pestis_CO92"
"VFG014930(gi:146306500)"	"mucA"	"anti_sigma-E_protein,_RseA_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_mendocina_ymp"
"VFG035011(gi:260854785)"	"nleG-3"	"T3SS_effector_NleG_"	"NleG-3_(CVF724)_"	"Escherichia_coli_O26:H11_str._11368"
"VFG029751(gi:119871408)"	"Mkms_5384"	"DGPFAETKE_family_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_sp._KMS"
"VFG011674(gb|NP_282560)"	"Cj1419c"	"methyltransferase_"	"Capsule_biosynthesis_and_transport_(CVF393)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG009847(gi:118616127)"	"prrB"	"two_component_sensor_histidine_kinase_PrrB_"	"PrrA/B_(CVF332)_"	"Mycobacterium_ulcerans_Agy99"
"VFG017752(gi:153952477)"	"JJD26997_1764"	"GDP-fucose_synthetase_"	"Capsule_biosynthesis_and_transport_(CVF393)_"	"Campylobacter_jejuni_subsp._doylei_269.97"
"VFG001007(gb|NP_858281)"	"spa15"	"type_III_secretion_system_chaparone_"	"TTSS_(VF0118)_"	"Shigella_flexneri_2a_str._301"
"VFG001009(gb|NP_858283)"	"spa13"	"type_III_secretion_system_stalk_protein_Spa13_"	"TTSS_(VF0118)_"	"Shigella_flexneri_2a_str._301"
"VFG016348(gi:42780470)"	"BCE_1396"	"immune_inhibitor_A_metalloprotease_"	"Immune_inhibitor_A_metalloproteinase_(CVF572)_"	"Bacillus_cereus_ATCC_10987"
"VFG022298(gi:41407602)"	"MAP1504"	"hypothetical_protein_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG024546(gi:406033053)"	"mycP3"	"subtilase_family_protein_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG019078(gi:182684949)"	"plr/gapA"	"glyceraldehyde-3-phosphate_dehydrogenase_"	"Streptococcal_plasmin_receptor/GAPDH_(CVF123)_"	"Streptococcus_pneumoniae_CGSP14"
"VFG012007(gi:57238344)"	"pseC"	"aminotransferase,_DegT/DnrJ/EryC1/StrS_family_"	"O-linked_flagellar_glycosylation_(CVF399)_"	"Campylobacter_jejuni_RM1221"
"VFG045553(gb|YP_096066)"	"lpg2050"	"Dot/Icm_type_IV_secretion_system_effector_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG044088(gb|NP_251102)"	"mbtH-like"	"MbtH-like_protein_from_the_pyoverdine_cluster_"	"pyoverdine_(IA001)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG009349(gi:126433272)"	"proC"	"pyrroline-5-carboxylate_reductase_"	"Proline_synthesis_(CVF307)_"	"Mycobacterium_sp._JLS"
"VFG017341(gi:153947600)"	"flhB"	"flagellar_biosynthetic_protein_FlhB_"	"Flagella_(cluster_I)"	"ND"
"VFG014352(gi:70729025)"	"fliT"	"flagellar_protein,_FliT_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG022971(gi:333991010)"	"relA"	"GTP_pyrophosphokinase_RelA_"	"(p)ppGpp_synthesis_and_hydrolysis_(CVF335)_"	"Mycobacterium_sp._JDM601"
"VFG044100(gi:15599900)"	"phuV"	"hemin_importer_ATP-binding_subunit_"	"direct_heme_uptake_system_(IA049)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG020129(gi:187734497)"	"ipgD"	"inositol_phosphate_phosphatase_IpgD_"	"Mxi-Spa_TTSS_effectors_controlled_by_VirB_(CVF463)_"	"Shigella_boydii_CDC_3083-94"
"VFG005552(gi:125718786)"	"tig/ropA"	"Trigger_factor,_putative_"	"Trigger_factor_(CVF149)_"	"Streptococcus_sanguinis_SK36"
"VFG001427(gb|AAA23661)"	"daaE"	"F1845_fimbrial_adhesin_"	"Afa/Dr_family_(VF0212)_"	"Escherichia_coli_str._C1845"
"VFG002664(gi:16122076)"	"fliM"	"flagellar_motor_switch_protein_"	"Flagella_(cluster_I)(CVF039)_"	"Yersinia_pestis_CO92"
"VFG040947(gi:157156601)"	"gspL"	"GspL-like_protein_"	"gsp_(SS206)_"	"Escherichia_coli_E24377A"
"VFG007171(gb|NP_798072)"	"vscG"	"Type_III_secretion_system_chaperone_VscG_"	"T3SS1_(VF0408)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG004585(gi:27469313)"	"sdrF"	"Ser-Asp_rich_fibrinogen-binding,bone_sialoprotein-binding_protein_"	"collagen-binding_protein_(AI298)_"	"Staphylococcus_epidermidis_ATCC_12228"
"VFG014063(gi:28872144)"	"chpA"	"sensor_histidine_kinase/response_regulator_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG037915(gi:523521478)"	"BJAB07104_00091"	"hypothetical_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_BJAB07104"
"VFG024603(gi:406030862)"	"eccA5"	"AAA_ATPase_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG038597(gi:145300801)"	"mshM"	"MSHA_biogenesis_protein_MshM_"	"Mannose-sensitive_hemagglutinin_(Msh)"	"ND"
"VFG024593(gi:406032521)"	"mycP4"	"thermophilic_serine_proteinase_"	"ESX-4_(T7SS)(CVF636)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG045821"	"flu"	"antigen_43_(Ag43"	"ND"	"ND"
"VFG019826(gi:229591856)"	"fleS"	"putative_two-component_system,_sensor_kinase_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_SBW25"
"VFG015815(gi:170722701)"	"pvdM"	"peptidase_M19_renal_dipeptidase_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_putida_W619"
"VFG040967(gi:206579421)"	"pulK"	"pullulanase_secretion_protein_PulK_"	"pul_(SS215)_"	"Klebsiella_pneumoniae_342"
"VFG023471(gi:183982683)"	"MMAR_2676"	"hypothetical_protein_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_marinum_M"
"VFG015365(gi:152988438)"	"PSPA7_0142"	"hypothetical_protein_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_aeruginosa_PA7"
"VFG041946(gi:21230687)"	"hrcU"	"type_III_secretion_system_protein_HrcU_"	"T3SS_(SS009)_"	"Xanthomonas_campestris_pv._campestris_str._ATCC_33913"
"VFG049785"	"SAB0239"	"hypothetical_protein_"	"Type_VII_secretion_system_(CVF624)_"	"Staphylococcus_aureus_subsp._aureus_MSSA476"
"VFG004078(gi:56414306)"	"fimC"	"fimbrial_chaperone_protein_"	"Fim_(CVF003)_"	"Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150"
"VFG005903(gi:55821107)"	"eps13"	"exopolysaccharide_biosynthesis_protein,_putative_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMG_18311"
"VFG010101(gi:145222690)"	"mce3B"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG009584(gi:41408511)"	"irtB"	"hypothetical_protein_"	"ABC_transporter_(CVF316)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG005913(gi:24379281)"	"rgpB"	"rhamnosyltransferase_"	"Capsule_(CVF186)_"	"Streptococcus_mutans_UA159"
"VFG000973(gb|NP_269985)"	"speB"	"pyrogenic_exotoxin_B_"	"SpeB_(VF0249)_"	"Streptococcus_pyogenes_M1_GAS"
"VFG005910(gi:125718317)"	"rgpFc"	"Lipopolysaccharide_biosynthesis_protein,_putative_"	"Capsule_(CVF186)_"	"Streptococcus_sanguinis_SK36"
"VFG023676(gi:332161321)"	"flgD"	"flagellar_basal_body_rod_modification_protein_"	"Flagella_(cluster_I)"	"ND"
"VFG014500(gi:152984239)"	"fliM"	"flagellar_motor_switch_protein_FliM_"	"Flagella_(CVF521)_"	"Pseudomonas_aeruginosa_PA7"
"VFG040979(gi:17547825)"	"gspG"	"putative_general_secretion_pathway_G_transmembrane_protein_"	"gsp_(SS217)_"	"Ralstonia_solanacearum_GMI1000"
"VFG015034(gi:104779452)"	"algQ"	"Transcriptional_regulator_AlgQ_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_entomophila_L48"
"VFG042156(gi:15618277)"	"rpsD"	"RNA_polymerase_sigma_factor_sigma-28_"	"T3SS_(SS002)_"	"Chlamydophila_pneumoniae_CWL029"
"VFG014127(gi:152986843)"	"PSPA7_1978"	"LPS_biosynthesis_protein_WbpG_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_PA7"
"VFG023351(gi:169629316)"	"PPE4"	"PPE_family_protein_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG000504(gb|NP_460368)"	"sscB"	"chaperone_for_sseF_"	"SPI-2_encoded_T3SS_(SS021)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2("
"VFG013466(gi:68249928)"	"kdsA"	"2-dehydro-3-deoxyphosphooctonate_aldolase_"	"LOS_(CVF494)_"	"Haemophilus_influenzae_86-028NP"
"VFG015510(gi:152985851)"	"phzC1"	"phenazine_biosynthesis_protein_PhzC_"	"Phenazines_biosynthesis_(CVF536)_"	"Pseudomonas_aeruginosa_PA7"
"VFG009120(gi:433627367)"	"kasB"	"3-oxoacyl-"	"acyl-carrier_protein_synthase_2_KasB_(beta-ketoacyl-ACP_synthase)(KAS_I"	"ND"
"VFG043131(gi:28900123)"	"flgF"	"putative_flagellar_basal-body_rod_protein_"	"lateral_flagella_(AI142)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG036019(gi:410480204)"	"cah"	"antigen_43_precursor_(AG43,_Fluffing_protein"	"ND"	"ND"
"VFG001398(gi:15609329)"	"trpD"	"anthranilate_phosphoribosyltransferase_"	"Tryptophan_synthesis_(CVF308)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG030670(gi:433649468)"	"sugB"	"carbohydrate_ABC_transporter_membrane_protein_2,_CUT1_family_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_smegmatis_JS623"
"VFG022964(gi:183982138)"	"relA"	"GTP_pyrophosphokinase_RelA_"	"(p)ppGpp_synthesis_and_hydrolysis_(CVF335)_"	"Mycobacterium_marinum_M"
"VFG002527(gb|YP_109898)"	"cheD"	"chemoreceptor_glutamine_deamidase_CheD_"	"Flagella_(VF0430)_"	"Burkholderia_pseudomallei_K96243"
