"Class"	"Cluster_name"	"Gene"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-21_1_LN609376"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-18_1_KT884517"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-30_1_KY646302"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-28_1_KY282958"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-27_1_KX828722"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-25_1_KU216748"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-24_1_KR052099"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-23_1_MH450213"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-31_1_MAPH01000113"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-32_1_MAPO01000050"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-33_1_CP025144"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-34_1_KU985429"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-35_1_MH404098"
"Betalactam"	"blaCMY-150_2_clust"	"blaCMY-101_1_KF526114"
"Betalactam"	"blaCMY-150_2_clust"	"blaCMY-93_1_KF992025"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-37_1_MH718730"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-39_1_MK118771"
"Polymyxin"	"mcr-1.11_1_clust"	"mcr-1.12_1_LC337668"
"Polymyxin"	"mcr-8_1"	"mcr-8_1_MG736312"
"Fosfomycin"	"fos_1"	"fos_1_ACCV01000052"
"Betalactam"	"rmtD_1_clust"	"rmtD2_1_HQ401565"
"Glycopeptide"	"VanHAX_1_clust"	"VanX_bc_1_Y15708"
"Glycopeptide"	"VanHBX_1_clust"	"VanHBX_2_U35369"
"Glycopeptide"	"VanC3XY_1_clust"	"VanC2_1_L29638"
"Glycopeptide"	"VanC3XY_1_clust"	"VanC3XY_1_AY033764"
"Glycopeptide"	"VanC3XY_1_clust"	"VanC4XY_2_EU151753"
"Glycopeptide"	"VanC3XY_1_clust"	"VanC4XY_3_EU151756"
"Glycopeptide"	"VanC3XY_1_clust"	"VanC2XY_3_EU151757"
"Glycopeptide"	"VanHDX_3_clust"	"VanHDX_3_AF175293"
"Glycopeptide"	"VanHDX_7_clust"	"VanHDX_4_AY082011"
"Glycopeptide"	"VanHDX_3_clust"	"VanHDX_1_AF130997"
"Glycopeptide"	"VanHDX_3_clust"	"VanHDX_2_EU999036"
"Phenicol"	"cfr(B)_3_clust"	"cfr(B)_3_KR610408"
"Phenicol"	"cfr(B)_3_clust"	"cfr(B)_2_KM359438"
"Quinolone"	"qnrB8_1_clust"	"qnrB21_1_FJ611948"
"Quinolone"	"qnrB8_1_clust"	"qnrB38_1_JN173060"
"Quinolone"	"qnrB8_1_clust"	"qnrB60_1_AB734055"
"Quinolone"	"qnrB1_1_clust"	"qnrB62_1_JX987101"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-361_1_KF460531"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-362_1_KF460532"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-363_1_KF460533"
"Tetracycline"	"tet(47)_1"	"tet(47)_1_KR857681"
"Tetracycline"	"tet(53)_1"	"tet(53)_1_KR857687"
"Tetracycline"	"tet(30)_1"	"tet(30)_1_AF090987"
"Trimethoprim"	"dfrB1_1_clust"	"dfrB1_1_U36276"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-496_1_KT200608"
"Betalactam"	"blaSST-1_1_clust"	"blaSRT-1_1_AB008454"
"Betalactam"	"blaPLA1a_1_clust"	"blaPLA-3A_1_AY507663"
"Betalactam"	"blaPLA1a_1_clust"	"blaPLA-5A_1_DQ249871"
"Betalactam"	"blaPLA1a_1_clust"	"blaPLA2a_1_AY307385"
"Betalactam"	"blaPLA1a_1_clust"	"blaPLA1a_1_AY302757"
"Betalactam"	"blaFONA-6_1_clust"	"blaFONA-6_1_AJ251244"
"Betalactam"	"blaFONA-6_1_clust"	"blaFONA-5_1_AJ251243"
"Betalactam"	"blaFONA-6_1_clust"	"blaFONA-1_1_AJ251239"
"Betalactam"	"blaHERA-1_1_clust"	"blaHERA-1_1_AF311385"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-9_1_FJ624872"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-10_1_GQ140348"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-11_1_HM066995"
"Betalactam"	"blaKPC-34_1_clust"	"blaKPC-14_1_JX524191"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN3_1_AY130286"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN7_1_AJ635425"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN13_1_AJ635403"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN16_1_AY743416"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN18_1_AM850908"
"Betalactam"	"blaLEN2_1_clust"	"blaLEN25_1_HQ709169"
"Betalactam"	"blaOXA-496_1_clust"	"blaOXA-134_1_HQ122933"
